targetX,targetY,linearMag,headingRad,velVx,velVy,omega,converged,convergedIter,hoodDeg,flywheelRPM,turretDeg,distanceToTarget,timeOfFlight,,,
1,-2.5,0,4.712389,0,0,0.392699,TRUE,2,76.88793,2335.646671,-67.841594,2.699362,1.037759,,,
1,-2.5,0,4.712389,0,0,0.785398,TRUE,2,76.861681,2338.140328,-67.486758,2.70624,1.037234,,,
1,-2.5,0,5.235988,0,0,0,TRUE,2,76.913808,2333.188276,-68.198591,2.692582,1.038276,,,
1,-2.5,0,5.235988,0,0,0.392699,TRUE,2,76.88793,2335.646671,-67.841594,2.699362,1.037759,,,
1,-2.5,0,5.235988,0,0,0.785398,TRUE,2,76.861681,2338.140328,-67.486758,2.70624,1.037234,,,
1,-2.5,0,5.759587,0,0,0,TRUE,2,76.913808,2333.188276,-68.198591,2.692582,1.038276,,,
1,-2.5,0,5.759587,0,0,0.392699,TRUE,2,76.88793,2335.646671,-67.841594,2.699362,1.037759,,,
1,-2.5,0,5.759587,0,0,0.785398,TRUE,2,76.861681,2338.140328,-67.486758,2.70624,1.037234,,,
1,-2.5,0.33,0,0.33,0,0,TRUE,2,77.367079,2297.469103,-75.279904,2.584838,1.04,,,
1,-2.5,0.33,0,0.33,0,0.392699,TRUE,2,77.346939,2298.979557,-74.891413,2.58951,1.04,,,
1,-2.5,0.33,0,0.33,0,0.785398,TRUE,2,77.326289,2300.528357,-74.504339,2.594301,1.04,,,
1,-2.5,0.33,0.523599,0.285788,0.165,0,TRUE,3,76.64931,2358.31556,-75.215581,2.761881,1.032986,,,
1,-2.5,0.33,0.523599,0.285788,0.165,0.392699,TRUE,3,76.631658,2359.992468,-74.8523,2.766506,1.032633,,,
1,-2.5,0.33,0.523599,0.285788,0.165,0.785398,TRUE,3,76.613599,2361.708102,-74.490443,2.771237,1.032272,,,
1,-2.5,0.33,1.047198,0.165,0.285788,0,TRUE,4,76.072154,2413.145414,-73.415919,2.913096,1.021443,,,
1,-2.5,0.33,1.047198,0.165,0.285788,0.392699,TRUE,4,76.052878,2414.976594,-73.078716,2.918146,1.021058,,,
1,-2.5,0.33,1.047198,0.165,0.285788,0.785398,TRUE,4,76.03324,2416.842232,-72.742912,2.923291,1.020665,,,
1,-2.5,0.33,1.570796,0,0.33,0,TRUE,4,75.773477,2426.795691,-70.613764,3.012642,1.035857,,,
1,-2.5,0.33,1.570796,0,0.33,0.392699,TRUE,4,75.755354,2427.339365,-70.292313,3.019094,1.037125,,,
1,-2.5,0.33,1.570796,0,0.33,0.785398,TRUE,3,75.736903,2427.892916,-69.97149,3.025663,1.038417,,,
1,-2.5,0.33,2.094395,-0.165,0.285788,0,TRUE,4,75.717422,2428.47735,-67.274072,3.032598,1.03978,,,
1,-2.5,0.33,2.094395,-0.165,0.285788,0.392699,TRUE,4,75.696201,2429.11397,-66.956947,3.040152,1.041266,,,
1,-2.5,0.33,2.094395,-0.165,0.285788,0.785398,TRUE,4,75.674639,2429.760819,-66.640477,3.047828,1.042775,,,
1,-2.5,0.33,2.617994,-0.285788,0.165,0,TRUE,4,75.903754,2422.887367,-64.14808,2.966263,1.026737,,,
1,-2.5,0.33,2.617994,-0.285788,0.165,0.392699,TRUE,4,75.880385,2423.588463,-63.83108,2.974583,1.028373,,,
1,-2.5,0.33,2.617994,-0.285788,0.165,0.785398,TRUE,4,75.856669,2424.299928,-63.514777,2.983026,1.030033,,,
1,-2.5,0.33,3.141593,-0.33,0,0,TRUE,3,76.366363,2385.195518,-61.826178,2.836013,1.027327,,,
1,-2.5,0.33,3.141593,-0.33,0,0.392699,TRUE,4,76.334285,2388.242915,-61.511713,2.844417,1.026686,,,
1,-2.5,0.33,3.141593,-0.33,0,0.785398,TRUE,4,76.301927,2391.316926,-61.19954,2.852895,1.026039,,,
1,-2.5,0.33,3.665191,-0.285788,-0.165,0,TRUE,2,77.019934,2323.504982,-60.876538,2.665375,1.04,,,
1,-2.5,0.33,3.665191,-0.285788,-0.165,0.392699,TRUE,2,76.983756,2326.543186,-60.539169,2.674256,1.039675,,,
1,-2.5,0.33,3.665191,-0.285788,-0.165,0.785398,TRUE,2,76.949553,2329.792475,-60.207019,2.683217,1.038991,,,
1,-2.5,0.33,4.18879,-0.165,-0.285788,0,TRUE,2,77.75443,2268.417761,-61.992679,2.494972,1.04,,,
1,-2.5,0.33,4.18879,-0.165,-0.285788,0.392699,TRUE,2,77.717464,2271.190179,-61.625869,2.503548,1.04,,,
1,-2.5,0.33,4.18879,-0.165,-0.285788,0.785398,TRUE,2,77.680059,2273.995541,-61.261579,2.512226,1.04,,,
1,-2.5,0.33,4.712389,0,-0.33,0,TRUE,5,78.223019,2238.849071,-65.184764,2.382691,1.022158,,,
1,-2.5,0.33,4.712389,0,-0.33,0.392699,TRUE,5,78.195214,2240.239301,-64.788221,2.389587,1.024383,,,
1,-2.5,0.33,4.712389,0,-0.33,0.785398,TRUE,5,78.166865,2241.656761,-64.392123,2.396618,1.026651,,,
1,-2.5,0.33,5.235988,0.165,-0.285788,0,TRUE,6,78.30871,2234.564525,-69.357951,2.36144,1.015303,,,
1,-2.5,0.33,5.235988,0.165,-0.285788,0.392699,TRUE,6,78.28566,2235.717003,-68.958186,2.367156,1.017147,,,
1,-2.5,0.33,5.235988,0.165,-0.285788,0.785398,TRUE,6,78.262104,2236.894786,-68.558935,2.372998,1.019032,,,
1,-2.5,0.33,5.759587,0.285788,-0.165,0,TRUE,3,78.021896,2248.905221,-73.19531,2.43257,1.038248,,,
1,-2.5,0.33,5.759587,0.285788,-0.165,0.392699,TRUE,4,78.002037,2249.898128,-72.795306,2.437495,1.039837,,,
1,-2.5,0.33,5.759587,0.285788,-0.165,0.785398,TRUE,2,77.978935,2251.579853,-72.389368,2.442887,1.04,,,
1,-2.5,0.67,0,0.67,0,0,TRUE,2,77.653798,2275.965172,-83.08494,2.518319,1.04,,,
1,-2.5,0.67,0,0.67,0,0.392699,TRUE,2,77.644099,2276.692573,-82.675281,2.520569,1.04,,,
1,-2.5,0.67,0,0.67,0,0.785398,TRUE,2,77.633846,2277.461555,-82.266373,2.522948,1.04,,,
1,-2.5,0.67,0.523599,0.580237,0.335,0,TRUE,4,76.228989,2398.246032,-81.883237,2.872005,1.02458,,,
1,-2.5,0.67,0.523599,0.580237,0.335,0.392699,TRUE,4,76.219326,2399.163997,-81.527999,2.874536,1.024387,,,
1,-2.5,0.67,0.523599,0.580237,0.335,0.785398,TRUE,4,76.209254,2400.120847,-81.173437,2.877175,1.024185,,,
1,-2.5,0.67,1.047198,0.335,0.580237,0,TRUE,6,75.286254,2441.412391,-78.383302,3.186094,1.069962,,,
1,-2.5,0.67,1.047198,0.335,0.580237,0.392699,TRUE,6,75.274369,2441.768924,-78.061144,3.190325,1.070794,,,
1,-2.5,0.67,1.047198,0.335,0.580237,0.785398,TRUE,6,75.262152,2442.135443,-77.739514,3.194674,1.071649,,,
1,-2.5,0.67,1.570796,0,0.67,0,TRUE,6,74.721924,2477.807618,-72.836371,3.388664,1.101123,,,
1,-2.5,0.67,1.570796,0,0.67,0.392699,TRUE,6,74.704906,2479.509364,-72.528501,3.394824,1.101804,,,
1,-2.5,0.67,1.570796,0,0.67,0.785398,TRUE,6,74.687577,2481.242331,-72.22141,3.401097,1.102497,,,
1,-2.5,0.67,2.094395,-0.335,0.580237,0,TRUE,6,74.615332,2488.466847,-66.432682,3.42725,1.105387,,,
1,-2.5,0.67,2.094395,-0.335,0.580237,0.392699,TRUE,6,74.592172,2490.782836,-66.136331,3.435634,1.106313,,,
1,-2.5,0.67,2.094395,-0.335,0.580237,0.785398,TRUE,6,74.568699,2493.130101,-65.840919,3.444131,1.107252,,,
1,-2.5,0.67,2.617994,-0.580237,0.335,0,TRUE,6,74.971742,2452.82577,-60.320439,3.298229,1.09113,,,
1,-2.5,0.67,2.617994,-0.580237,0.335,0.392699,TRUE,6,74.943755,2455.624453,-60.027008,3.308361,1.09225,,,
1,-2.5,0.67,2.617994,-0.580237,0.335,0.785398,TRUE,6,74.915455,2458.454477,-59.734715,3.318605,1.093382,,,
1,-2.5,0.67,3.141593,-0.67,0,0,TRUE,4,75.751502,2427.454932,-55.861873,3.020465,1.037395,,,
1,-2.5,0.67,3.141593,-0.67,0,0.392699,TRUE,4,75.720482,2428.385545,-55.555246,3.031508,1.039566,,,
1,-2.5,0.67,3.141593,-0.67,0,0.785398,TRUE,4,75.689067,2429.327998,-55.24938,3.042692,1.041765,,,
1,-2.5,0.67,3.665191,-0.580237,-0.335,0,TRUE,3,76.949308,2329.815751,-53.319656,2.683281,1.038986,,,
1,-2.5,0.67,3.665191,-0.580237,-0.335,0.392699,TRUE,2,76.908098,2333.730702,-53.022237,2.694078,1.038162,,,
1,-2.5,0.67,3.665191,-0.580237,-0.335,0.785398,TRUE,3,76.866681,2337.665288,-52.727746,2.70493,1.037334,,,
1,-2.5,0.67,4.18879,-0.335,-0.580237,0,TRUE,6,78.4102,2229.489985,-55.078491,2.33627,1.007184,,,
1,-2.5,0.67,4.18879,-0.335,-0.580237,0.392699,TRUE,5,78.372705,2231.364765,-54.680852,2.345569,1.010183,,,
1,-2.5,0.67,4.18879,-0.335,-0.580237,0.785398,TRUE,5,78.334564,2233.271799,-54.283499,2.355028,1.013235,,,
1,-2.5,0.67,4.712389,0,-0.67,0,TRUE,7,79.648991,2193.510087,-61.497524,2.095572,0.982715,,,
1,-2.5,0.67,4.712389,0,-0.67,0.392699,TRUE,7,79.583213,2194.167866,-61.108228,2.105142,0.980413,,,
1,-2.5,0.67,4.712389,0,-0.67,0.785398,TRUE,6,79.516983,2194.830168,-60.724522,2.114779,0.978095,,,
1,-2.5,0.67,5.235988,0.335,-0.580237,0,TRUE,7,80.077834,2189.221658,-70.885951,2.033175,0.997724,,,
1,-2.5,0.67,5.235988,0.335,-0.580237,0.392699,TRUE,7,80.030793,2189.69207,-70.418686,2.04002,0.996078,,,
1,-2.5,0.67,5.235988,0.335,-0.580237,0.785398,TRUE,7,79.982815,2190.171849,-69.956012,2.047,0.994399,,,
1,-2.5,0.67,5.759587,0.580237,-0.335,0,TRUE,7,78.883647,2205.817638,-78.626381,2.218855,0.969308,,,
1,-2.5,0.67,5.759587,0.580237,-0.335,0.392699,TRUE,7,78.871657,2206.417168,-78.210638,2.221829,0.970267,,,
1,-2.5,0.67,5.759587,0.580237,-0.335,0.785398,TRUE,7,78.859229,2207.038529,-77.795602,2.224911,0.971262,,,
1,-2,0,0,0,0,0,TRUE,2,78.814242,2209.287899,-63.434949,2.236068,0.974861,,,
1,-2,0,0,0,0,0.392699,TRUE,2,78.783269,2210.836552,-63.045299,2.243749,0.977338,,,
1,-2,0,0,0,0,0.785398,TRUE,2,78.751717,2212.414144,-62.656334,2.251574,0.979862,,,
1,-2,0,0.523599,0,0,0,TRUE,2,78.814242,2209.287899,-63.434949,2.236068,0.974861,,,
1,-2,0,0.523599,0,0,0.392699,TRUE,2,78.783269,2210.836552,-63.045299,2.243749,0.977338,,,
